iter	Passed	Remaining
1014	59022	57277
1015	59071	57210
1016	59119	57143
1017	59170	57077
1018	59222	57014
1019	59277	56952
1020	59331	56890
1021	59389	56832
1022	59447	56774
1023	59506	56716
1024	59562	56657
1025	59618	56596
1026	59670	56533
1027	59725	56472
1028	59778	56408
1029	59834	56348
1030	59887	56286
1031	59939	56222
1032	59988	56156
1033	60045	56096
1034	60113	56047
1035	60177	55995
1036	60231	55933
1037	60286	55872
1038	60336	55806
1039	60389	55744
1040	60443	55682
1041	60495	55618
1042	60548	55555
1043	60600	55492
1044	60654	55430
1045	60711	55371
1046	60772	55316
1047	60829	55257
1048	60888	55200
1049	60940	55136
1050	60990	55071
1051	61047	55012
1052	61103	54952
1053	61156	54890
1054	61209	54827
1055	61262	54764
1056	61320	54706
1057	61373	54644
1058	61426	54581
1059	61479	54519
1060	61541	54464
1061	61592	54400
1062	61647	54340
1063	61699	54277
1064	61756	54218
1065	61817	54162
1066	61879	54107
1067	61931	54044
1068	61985	53984
1069	62032	53916
1070	62083	53852
1071	62136	53790
1072	62187	53725
1073	62243	53665
1074	62297	53604
1075	62347	53540
1076	62400	53477
1077	62461	53422
1078	62520	53365
1079	62579	53308
1080	62632	53246
1081	62685	53183
1082	62741	53124
1083	62799	53066
1084	62851	53004
1085	62903	52940
1086	62956	52879
1087	63013	52820
1088	63066	52757
1089	63122	52698
1090	63188	52647
1091	63241	52585
1092	63296	52524
1093	63347	52461
1094	63400	52399
1095	63453	52337
1096	63506	52275
1097	63566	52219
1098	63628	52165
1099	63684	52105
1100	63740	52046
1101	63800	51990
1102	63855	51929
1103	63913	51872
1104	63968	51811
1105	64034	51760
1106	64090	51701
1107	64145	51640
1108	64202	51581
1109	64259	51523
1110	64315	51463
1111	64368	51402
1112	64424	51343
1113	64482	51284
1114	64541	51228
1115	64598	51169
1116	64652	51108
1117	64704	51046
1118	64757	50983
1119	64812	50924
1120	64866	50863
1121	64920	50802
1122	64973	50740
1123	65027	50679
1124	65081	50618
1125	65134	50557
1126	65191	50499
1127	65247	50439
1128	65306	50382
1129	65358	50320
1130	65411	50258
1131	65460	50194
1132	65509	50129
1133	65565	50070
1134	65618	50008
1135	65668	49944
1136	65722	49884
1137	65779	49826
1138	65828	49761
1139	65882	49700
1140	65932	49637
1141	65986	49576
1142	66037	49513
1143	66097	49457
1144	66149	49395
1145	66208	49338
1146	66264	49279
1147	66323	49222
1148	66379	49163
1149	66436	49105
1150	66490	49044
1151	66541	48981
1152	66592	48918
1153	66650	48861
1154	66705	48802
1155	66761	48742
1156	66816	48683
1157	66871	48623
1158	66924	48562
1159	66978	48501
1160	67028	48438
1161	67080	48376
1162	67132	48314
1163	67186	48254
1164	67239	48193
1165	67300	48137
1166	67354	48077
1167	67409	48017
1168	67469	47961
1169	67526	47903
1170	67590	47850
1171	67654	47796
1172	67714	47740
1173	67767	47679
1174	67827	47623
1175	67881	47563
1176	67943	47508
1177	68001	47451
1178	68059	47393
1179	68114	47333
1180	68177	47279
1181	68235	47222
1182	68293	47164
1183	68356	47110
1184	68422	47058
1185	68486	47004
1186	68548	46950
1187	68601	46889
1188	68652	46827
1189	68705	46766
1190	68767	46711
1191	68824	46653
1192	68882	46595
1193	68935	46534
1194	68997	46479
1195	69050	46418
1196	69110	46362
1197	69167	46304
1198	69228	46248
1199	69286	46191
1200	69342	46132
1201	69398	46073
1202	69456	46015
1203	69509	45954
1204	69562	45893
1205	69615	45832
1206	69672	45774
1207	69724	45713
1208	69778	45653
1209	69837	45596
1210	69891	45536
1211	69943	45475
1212	70004	45418
1213	70064	45362
1214	70123	45305
1215	70173	45243
1216	70229	45184
1217	70287	45126
1218	70338	45065
1219	70403	45012
1220	70471	44961
1221	70525	44901
1222	70586	44844
1223	70639	44784
1224	70689	44722
1225	70745	44663
1226	70806	44607
1227	70868	44552
1228	70927	44495
1229	70981	44435
1230	71034	44374
1231	71090	44316
1232	71143	44255
1233	71199	44196
1234	71256	44138
1235	71309	44078
1236	71365	44019
1237	71424	43962
1238	71483	43905
1239	71537	43845
1240	71593	43786
1241	71649	43728
1242	71705	43669
1243	71755	43607
1244	71806	43545
1245	71862	43486
1246	71920	43428
1247	71970	43366
1248	72021	43305
1249	72071	43242
1250	72125	43183
1251	72186	43127
1252	72247	43071
1253	72308	43016
1254	72363	42956
1255	72418	42897
1256	72476	42840
1257	72532	42781
1258	72585	42721
1259	72636	42659
1260	72692	42600
1261	72746	42541
1262	72801	42481
1263	72856	42422
1264	72915	42366
1265	72971	42307
1266	73020	42244
1267	73083	42189
1268	73137	42130
1269	73190	42070
1270	73241	42008
1271	73296	41949
1272	73355	41892
1273	73402	41829
1274	73456	41769
1275	73516	41712
1276	73572	41654
1277	73632	41598
1278	73688	41539
1279	73741	41479
1280	73797	41420
1281	73851	41361
1282	73917	41308
1283	73976	41251
1284	74033	41193
1285	74089	41134
1286	74146	41077
1287	74197	41015
1288	74251	40956
1289	74298	40893
1290	74345	40829
1291	74396	40768
1292	74451	40709
1293	74510	40652
1294	74569	40595
1295	74628	40538
1296	74681	40478
1297	74733	40418
1298	74783	40356
1299	74836	40296
1300	74887	40235
1301	74947	40179
1302	75002	40120
1303	75055	40060
1304	75115	40004
1305	75171	39945
1306	75227	39887
1307	75283	39828
1308	75340	39771
1309	75399	39714
1310	75458	39657
1311	75520	39602
1312	75580	39546
1313	75639	39489
1314	75695	39430
1315	75746	39369
1316	75804	39312
1317	75862	39255
1318	75925	39200
1319	75985	39143
1320	76037	39083
1321	76087	39022
1322	76139	38961
1323	76194	38902
1324	76255	38847
1325	76318	38792
1326	76379	38736
1327	76431	38676
1328	76488	38618
1329	76542	38558
1330	76591	38497
1331	76641	38435
1332	76695	38376
1333	76750	38317
1334	76811	38261
1335	76869	38204
1336	76924	38146
1337	76978	38086
1338	77030	38026
1339	77087	37968
1340	77142	37909
1341	77199	37851
1342	77253	37792
1343	77313	37736
1344	77372	37679
1345	77429	37621
1346	77486	37563
1347	77548	37508
1348	77609	37452
1349	77669	37396
1350	77726	37338
1351	77780	37279
1352	77840	37223
1353	77900	37166
1354	77961	37110
1355	78019	37053
1356	78073	36994
1357	78133	36937
1358	78193	36881
1359	78245	36821
1360	78306	36765
1361	78361	36706
1362	78405	36642
1363	78454	36581
1364	78506	36521
1365	78564	36464
1366	78619	36405
1367	78674	36346
1368	78734	36290
1369	78786	36230
1370	78839	36170
1371	78896	36113
1372	78955	36056
1373	79015	36000
1374	79070	35941
1375	79120	35880
1376	79161	35815
1377	79208	35753
1378	79264	35694
1379	79330	35641
1380	79384	35582
1381	79440	35523
1382	79503	35469
1383	79599	35428
1384	79682	35382
1385	79768	35337
1386	79848	35289
1387	79928	35242
1388	80005	35193
1389	80084	35144
1390	80172	35100
1391	80308	35077
1392	80462	35061
1393	80577	35028
1394	80689	34994
1395	80809	34963
1396	80927	34931
1397	81039	34896
1398	81145	34859
1399	81242	34818
1400	81340	34777
1401	81451	34741
1402	81557	34703
1403	81658	34663
1404	81778	34632
1405	81889	34596
1406	82006	34562
1407	82108	34523
1408	82193	34475
1409	82279	34429
1410	82361	34380
1411	82448	34334
1412	82540	34289
1413	82627	34243
1414	82716	34197
1415	82806	34151
1416	82890	34103
1417	82982	34059
1418	83068	34011
1419	83157	33965
1420	83245	33919
1421	83305	33861
1422	83382	33810
1423	83460	33759
1424	83545	33711
1425	83627	33661
1426	83706	33611
1427	83791	33563
1428	83877	33515
1429	83959	33466
1430	84051	33420
1431	84133	33371
1432	84223	33324
1433	84304	33275
1434	84392	33227
1435	84466	33174
1436	84545	33124
1437	84628	33074
1438	84714	33026
1439	84793	32975
1440	84878	32926
1441	84959	32876
1442	85044	32827
1443	85128	32778
1444	85210	32728
1445	85285	32674
1446	85355	32620
1447	85432	32568
1448	85501	32513
1449	85578	32460
1450	85655	32408
1451	85736	32357
1452	85813	32305
1453	85897	32255
1454	85977	32204
1455	86045	32148
1456	86118	32095
1457	86197	32043
1458	86272	31990
1459	86337	31933
1460	86422	31883
1461	86508	31834
1462	86591	31783
1463	86669	31731
1464	86759	31683
1465	86845	31633
1466	86929	31583
1467	87038	31542
1468	87124	31492
1469	87212	31443
1470	87313	31399
1471	87403	31351
1472	87481	31298
1473	87569	31249
1474	87669	31204
1475	87747	31151
1476	87829	31100
1477	87904	31046
1478	88003	31000
1479	88085	30948
1480	88161	30895
1481	88239	30842
1482	88325	30791
1483	88411	30741
1484	88491	30688
1485	88562	30633
1486	88642	30580
1487	88721	30527
